Rate,Review,Summary
5,Just wow!,Please take care of size before purchasing otherwise product is great. I buy it in 8000 with 2 years of extended warranty.
4,Good quality product,Its work awesome luv it...
5,Must buy!,Good product as expected. Cooling room more than expected. Thanks to flipkart for fast delivery and genuine product.
5,Classy product,Worthy.....
5,Excellent,Good
4,Worth the money,Good delivery.. Value for money.. Best cooler ever..
4,Nice product,Built quality is very good. There is no light indicator in this cooler.
5,Awesome,God quality
5,Terrific purchase,Good
4,Wonderful,You can also buy without any hesitation ???�
5,Awesome,Nice product  ....working  is good????
4,Nice product,Very good product
5,Must buy!,Nice product value for money
5,Worth every penny,Very nice cooler.???� Gives cool air even without any water. Thoughtfully made by the brand maharaja whiteline!!???? Well done maharaja whiteline.???� And good job by flipkart for delivering such a big appliance without any damage!! ???�
4,Good quality product,Very good air cooler
5,Wonderful,Good product
3,Just okay,Very good product
5,Super!,Very nice
4,Good choice,Very good item very nice thank you Flipkart
5,Fabulous!,"Great deal, perfect cooling"
2,Moderate,Room is not cooling.. cooler is throughing only normal air.
5,Perfect product!,Awesome ?product
5,Perfect product!,"The cooler is really nice ,light body with decent air throw , real value for money"
4,Good quality product,Gud
4,Value-for-money,It's good preoduct nice
4,Worth the money,"Best then voltas, symphony, and other brands but without trolley, which I made myself."
5,Perfect product!,Excellent cooler....
2,Bad quality,Speed not good very slow
3,Good,Good quality
5,Terrific,Good product
5,Worth every penny,Amazing n big air cooler ??�� I love It
5,Simply awesome,Very good product
5,Simply awesome,Nice
5,Awesome,Using from a month now and results are good
5,Brilliant,Good product
3,Product is Good but Huge in size,"In fact product performance is very good but it occupied lot of space since which is huge in size.Small rooms are very difficult to accommodate and also fan gives more sound since motor capacity is powerful even in low speed 1and also drain points at bottom of cooler so which is very difficult to drain water and always need to lift to clean/change the water .More over main drawback is : Product does not carry stand and need to purchase separatelyApart from these , every thing is pretty w..."
5,Highly recommended,Awesome product. Go for it. Genuine price affordable.Good working. Low noise. Good. Delivery.
1,Horrible,Waste of money don�??t buy
5,Great product,"Nice working with great Colling , it has low noise and cool air it cools hole room it is very nice"
5,Mind-blowing purchase,Nic
5,Fabulous!,Very nice ????
5,Simply awesome,"Good product, If u r searcing cooler in this range, it's best product. Good cooling.. I recommend it.."
5,Highly recommended,Good product
1,Not recommended at all,I am using this cooler for the last 3 months. At first month it was working fine but after that the cooler is not colling at all. I don't know what wrong with it.
1,Not recommended at all,Unhappy ???�???�???�???�???�
5,Perfect product!,Good
4,Wonderful,Nice product .
3,Fair,Cooler body is very weak
3,Fair,Big cooler but speed is average
5,Excellent,Very good
4,Good choice,good product
5,Highly recommended,Nice cooler. Good fantastic cooling not less than air conditioners.
5,Super!,Nice product
4,Value-for-money,Good
5,Must buy!,Nice product good job
5,Simply awesome,Value for money
5,Great product,Large in size
1,Very poor,Bad
3,Good,Average
3,Nice,Product is good i give 3star.
5,Classy product,Very best at this price true value for the money.But delivery was too delayed took 8 days to deliver.
5,Must buy!,very good cooler in this price
5,Brilliant,Superb
5,Perfect product!,Got it for 7200. Value for money
1,Utterly Disappointed,Defective product
5,Terrific purchase,Great product at that price
5,Terrific,Nice products but one problem Brod size
5,Great product,Great cooling
4,Delightful,"Performance wise is ok,  cooling is good but the cooler plastic body quality is not very good"
2,Bad quality,"Poor air throw, don't go by reviews present it's not even throwing till 15 ft."
2,Moderate,"Very bad product. Very noice. Service man is bad response,,,I hate this product. Do not buy this. Waste of money"
4,Really Nice,awesome product but did not get any remote and stand of cooler
5,Wonderful,good product
4,Delightful,Indeed a good one... But if can think of changing kush to a little better quality.
5,Awesome,Awesome
1,Don't waste your money,"Capacity of cooler is not 65lt, water indicator not work"
5,Simply awesome,"Awesome Product, must buy it"
4,Very Good,nice and but the room is not so cool a i dont know why.
1,Utterly Disappointed,Bad quality product
5,Awesome,Awesome quality..
4,Pretty good,Nice and super cooling.
5,Must buy!,Good purchase at this range of price.
3,Nice,Leaves a fishy smell sometimes which is unbearable ! Cooling is Average
4,Pretty good,Super
5,Classy product,Very good ????
5,Great product,actual fan motor 91 waat and rpm1350 this is true
4,Worth the money,Good product ???�???�
3,Fair,Product is not same as shown in figure.
3,Just okay,Okay okay product
1,Terrible product,Worst cooling normal table fan is better compared to this no cooling
4,Very Good,Superrrrrr
5,Terrific purchase,best
5,Terrific,Nice product with super cooling!!
5,Awesome,Good product and great cooling
5,Terrific,I ordered this for me parents in north India and they are chilling nin this scorching june
3,Nice,Good product
4,Good choice,After use of one day i and my family love it
5,Best in the market!,I bought it for Rs 6900 and it's awesome.
5,Super!,Very satisfied I gifted to my father ...
5,Best in the market!,Go for it. If u want good cooling and good air delivery.
5,Simply awesome,Marvelous product ????
5,Terrific purchase,Nice cooler. Cools the room even at 45��� temperature. Surely go for it.
4,Really Nice,"Outlet valve is missing. Well talking about cooler , You won't regret something like this at such price segment even cooling is well satisfactory."
4,Good quality product,"Cooler is good good cooling fan speed, triple slow"
4,Delightful,Good super cooling
1,Don't waste your money,"Absolutely useless product. Please never buy it. Even after technician coming and checking that the product was not working, still the exchange was not accepted. A big SCAM by Flipkart. Total disgrace"
4,Good choice,Grt working as said in the product it doesn't cover 700sqrfeet it does cover almost 10to15mts
5,Awesome,Very good experience
4,Value-for-money,Good.. price will go to upto 7k .A full tank will go upto 6-7 hr
4,Good choice,"Good product,and add ice box, remote control panel better"
5,Just wow!,Go
3,Decent product,Fan speed is slow but cooling is okay !!!
5,Simply awesome,Excellent
4,Very Good,Best cooler under 10000 range
5,Must buy!,"Super cool, thanks flipkart"
5,Perfect product!,"Beyond the requirements & imagination,  excellent cooling, sound is bit high( may be coz it's my 1st aircooler)"
5,Terrific,Nice product and nice delivery
5,Great product,Best in its class
4,Nice product,Nice product...
5,Brilliant,Cheap and best really awesome one
4,Value-for-money,I buy it 6200.In this price it is good But coolar size is too large.
5,Best in the market!,Good
4,Nice product,Best Cooler ever???�
3,Does the job,Average. Got smell using 2 times after filling water
4,Wonderful,Good
3,Good,"More noise, and some times lightly bad smell.. ,,actually no proper cooling"
5,Great product,No need of ac instead of this maharaja rambo..great cooling...
5,Terrific purchase,Nice
4,Pretty good,"It's good for mid size room, apart from cooler design and plastic body, electrical accessories are of average quality. One concern, nowhere given in manual ""how it will be opened and internally cleaned."""
4,Worth the money,Nice cooling!!!!
5,Must buy!,Better than expected.. Air throw is really good... To cool 400 sqft space it takes aprox 25 minutes in Bangalore... Overall good buy
5,Mind-blowing purchase,"The best product that i bought from flipkart it works superb, super cooling low noise  like AC"
2,Not good,Not at all good.It makes such a sound..it's like you siting in a cinema theatre with a Fan.. (90's)Don't buy it Pls.. Only sound.. No cool air.
5,Best in the market!,used for 9 days .. feels good one now .. not sure after a month or an year... will keep updated
